id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
323,"MASON COUNTY CLERK
P.O. BOX 234
MAYSVILLE, KY 41056",Mason,KY,NA,COUNTY GOVERNMENT,9132,NA,21161 
324,"MCCRACKEN COUNTY FISCAL COURT
300 CLARENCE GAINES ST.
PADUCAH, KY 42003",McCracken,KY,NA,COUNTY GOVERNMENT,535270,NA,21145 
325,"MCCREARY COUNTY
1 N. MAIN ST.
WHITLEY CITY, KY 42653",McCreary,KY,NA,COUNTY GOVERNMENT,13110,NA,21147 
326,"MONTGOMERY COUNTY CLERK
1 COURT ST.  SUITE 2
STERLING, KY 40353",Montgomery,KY,NA,COUNTY GOVERNMENT,15435,NA,21173 
327,"MUHLENBERG COUNTY CLERK
100 S. MAIN ST.
GREENVILLE, KY 42345",Muhlenberg,KY,NA,COUNTY GOVERNMENT,314541,NA,21177 
328,"OHIO COUNTY FISCAL COURT
130 E. WASHINGTON ST., #209
HARTFORD, KY 42347",Ohio,KY,NA,COUNTY GOVERNMENT,13631,NA,21183 
329,"OLDHAM COUNTY CLERK
100 W. JEFFERSON ST.
LAGRANGE, KY 40031",Oldham,KY,NA,COUNTY GOVERNMENT,527674,NA,21185 
330,"ROWAN COUNTY CLERK'S OFFICE							
600 W. MAIN ST., SUITE 102							
MOREHEAD, KY 40351",Rowan,KY,NA,COUNTY GOVERNMENT,220981,NA,21205 
331,"SCOTT COUNTY FISCAL COURT							
P.O. BOX 973							
GEORGETOWN, KY 40324",Scott,KY,NA,COUNTY GOVERNMENT,25974,NA,21209 
332,"SPENCER COUNTY CLERK
P.O. BOX 544
TAYLORSVILLE, KY 40071",Spencer,KY,NA,COUNTY GOVERNMENT,6760,NA,21215 
333,"TRIGG COUNTY FISCAL COURT
P.O. BOX 1310
CADIZ, KY 42211",Trigg,KY,NA,COUNTY GOVERNMENT,7739,NA,21221 
334,"UNION COUNTY CLERK'S OFFICE
P.O. BOX 119
MORGANFIELD, KY 42437",Union,KY,NA,COUNTY GOVERNMENT,10132,NA,21225 
335,"WARREN COUNTY FISCAL COURT
429 E. 10TH AVE.
BOWLING GREEN, KY 42101",Warren,KY,NA,COUNTY GOVERNMENT,570360,NA,21227 
336,"WEBSTER COUNTY
701 CENTRAL AVE.
FORT DODGE, IA 50501",Webster,IA,NA,COUNTY GOVERNMENT,8543,NA,19187 
337,"CALCASIEU PARISH POLICE JURY
P.O. BOX 1583
LAKE CHARLES, LA 70602",Calcasieu,LA,NA,COUNTY GOVERNMENT,200000,NA,22019 
338,"CLERK OF CRIMINAL DISTRICT COURT &
CHIEF ELECTIONS OFFICER - 2700
TULANE AVE., #114 - NEW ORLEANS,
LA 70119",New Orleans,LA,NA,LOCAL GOVERNMENT,928000,NA,NA
339,"CITY OF AUGUSTA							
16 CONY ST.							
AUGUSTA, ME 04330",Augusta,ME,NA,LOCAL GOVERNMENT,145237,NA,NA
340,"CITY OF BANGOR							
73 HARLOW ST.							
BANGOR, ME 04401",Bangor,ME,NA,LOCAL GOVERNMENT,272104,NA,NA
341,"CITY OF BATH
55 FRONT ST.
BATH, ME 04530",Bath,ME,NA,LOCAL GOVERNMENT,144315,NA,NA
342,"CITY OF BIDDEFORD, MAINE
P.O. BOX 586
BIDDEFORD, ME 04005",Biddeford,ME,NA,LOCAL GOVERNMENT,38083,NA,NA
343,"TOWN OF BRUNSWICK
85 UNION ST.
BRUNSWICK, ME 04011",Brunswick,ME,NA,LOCAL GOVERNMENT,137760,NA,NA
344,"CITY OF AUBURN
60 COURT ST.
AUBURN, ME 04210",Auburn,ME,NA,LOCAL GOVERNMENT,259076,NA,NA
345,"TOWN OF CUMBERLAND MAINE
290 TUTTLE RD.
CUMBERLAND, ME 04021",Cumberland,ME,NA,LOCAL GOVERNMENT,155000,NA,23005 
346,"TOWN OF DOVER-FOXCROFT
48 MORTON AVE.
DOVER FOXCROFT, ME 04426",Dover-Foxcroft,ME,NA,LOCAL GOVERNMENT,55000,NA,NA
347,"TOWN OF GORHAM
75 SOUTH ST.
GORHAM, ME 04038",Gorham,ME,NA,LOCAL GOVERNMENT,5302,NA,NA
348,"TOWN OF KENNEBUNK							
1 SUMMER ST.							
KENNEBUNK, ME 04043",Kennebunk,ME,NA,LOCAL GOVERNMENT,55000,NA,NA
349,"CITY OF LEWISTON							
27 PINE ST.							
LEWISTON, ME 04240",Lewiston,ME,NA,LOCAL GOVERNMENT,272519,NA,NA
350,"TOWN OF MILLINOCKET
197 PENOBSCOT AVE.
MILLINOCKET, ME 04462",Millinocket,ME,NA,LOCAL GOVERNMENT,32678,NA,NA
351,"TOWN OF ORONO
59 MAIN ST.
ORONO, ME 04473",Orono,ME,NA,LOCAL GOVERNMENT,159025,NA,NA
352,"CITY OF PORTLAND
389 CONGRESS ST.
PORTLAND, ME 04092",Portland,ME,NA,LOCAL GOVERNMENT,284584,NA,NA
353,"CITY OF PRESQUE ISLE
12 SECOND ST.
PRESQUE ISLE, ME 04769",Presque Isle,ME,NA,LOCAL GOVERNMENT,38250,NA,NA
354,"CITY OF SACO
300 MAIN ST.
SACO, ME 04072",Saco,ME,NA,LOCAL GOVERNMENT,7440,NA,NA
355,"CITY OF SANFORD VOTER REGISTRATION
640 MAIN ST.
SACO, ME 04072",Sanford,ME,NA,LOCAL GOVERNMENT,159540,NA,NA
356,"TOWN OF SCARBOROUGH
P.O. BOX 360
SCARBOROUGH, ME 04070",Scarborough,ME,NA,LOCAL GOVERNMENT,18174,NA,NA
357,"CITY OF SOUTH PORTLAND							
25 COTTAGE RD.							
SOUTH PORTLAND, ME 04106",South Portland,ME,NA,LOCAL GOVERNMENT,205938,NA,NA
358,"KITTERY COUNTY							
200 ROGERS RD.							
KITTERY, ME 03904",Kittery,ME,NA,LOCAL GOVERNMENT,55000,NA,NA
359,"TOWN OF WINDHAM ME
8 SCHOOL RD.
WINDHAM, ME 04062",Windham,ME,NA,LOCAL GOVERNMENT,5564,NA,NA
360,"CITY OF WATERVILLE
1 COMMON ST.
WATERVILLE, ME 04901",Waterville,ME,NA,LOCAL GOVERNMENT,80000,NA,NA
361,"CITY OF WESTBROOK
2 YORK ST.
WESTBROOK, ME 04092",Westbrook,ME,NA,LOCAL GOVERNMENT,8136,NA,NA
362,"BOARD OF COUNTY COMMISSIONERS OF
ALLEGANY COUNTY - 701 KELLY RD. -
CUMBERLAND, MD 21502",Allegany,MD,NA,COUNTY GOVERNMENT,41475,NA,24001 
363,"ANNE ARUNDEL COUNTY
44 CALVERT ST.
ANNAPOLIS, MD 21401",Anne Arundel,MD,NA,COUNTY GOVERNMENT,330076,NA,24003 
364,"MAYOR AND CITY COUNCIL OF
BALTIMORE - 417 E. FAYETTE ST. -
BALTIMORE, MD 21215",Baltimore City,MD,NA,LOCAL GOVERNMENT,1147073,NA,24510 
365,"BALTIMORE COUNTY GOVERNMENT
400 WASHINGTON AVE.
TOWSON, MD 21204",Baltimore,MD,NA,COUNTY GOVERNMENT,1044824,NA,24005 
366,"CALVERT COUNTY TREASURER							
175 MAIN ST.							
PRINCE FREDERICK, MD 20678",Calvert,MD,NA,COUNTY GOVERNMENT,47492,NA,24009 
367,"CAROLINE COUNTY COMMISSIONERS							
109 MARKET ST.							
DENTON, MD 21629",Caroline,MD,NA,COUNTY GOVERNMENT,19108,NA,24011 
368,"COUNTY COMMISSIONERS FOR CARROLL
COUNTY - 225 N. CENTER ST., ROOM
308 - WESTMINSTER, MD 21157",Carroll,MD,NA,COUNTY GOVERNMENT,76536,NA,24013 
369,"CECIL COUNTY
200 CHESAPEAKE BLVD.
ELKTON, MD 21921",Cecil,MD,NA,COUNTY GOVERNMENT,45975,NA,24015 
370,"COUNTY COMMISSIONERS OF CHARLES
COUNTY - 200 BALTIMORE ST. - LA
PLATA, MD 20646",Charles,MD,NA,COUNTY GOVERNMENT,129030,NA,24017 
371,"DORCHESTER COUNTY
501 COURT LN.
CAMBRIDGE, MD 21613",Dorchester,MD,NA,COUNTY GOVERNMENT,22352,NA,24019 
372,"FREDERICK COUNTY
12 E. CHURCH ST.
FREDERICK, MD 21702",Frederick,MD,NA,COUNTY GOVERNMENT,121975,NA,24021 
373,"BOARD OF GARRETT COUNTY
COMMISSIONERS - 203 S. FOURTH ST.
- OAKLAND, MD 21550",Garrett,MD,NA,COUNTY GOVERNMENT,9478,NA,24023 
374,"HARFORD COUNTY BOARD OF ELECTIONS
133 INDUSTRY LN.
FOREST HILL, MD 21050",Harford,MD,NA,COUNTY GOVERNMENT,131537,NA,24025 
375,"DIRECTOR OF FINANCE, HOWARD COUNTY							
MARYLAND - 3430 COURTHOUSE DR. -							
ELLICOTT CITY, MD 21043",Howard,MD,NA,COUNTY GOVERNMENT,688226,NA,24027 
376,"KENT COUNTY BOARD OF ELECTIONS							
135 DIXON DRIVE							
CHESTERTOWN, MD 21620",Kent,MD,NA,COUNTY GOVERNMENT,12696,NA,24029 
377,"MONTGOMERY COUNTY
101 MONROE STREET, 8TH FLORR
ROCKVILLE, MD 20850",Montgomery,MD,NA,COUNTY GOVERNMENT,801913,NA,24031 
378,"PRINCE GEORGE'S COUNTY BOARD OF
ELECTIONS - 1100 MERCANTILE LANE,
SUITE 115A - FORT WASHINGTON, MD
20744",Prince George's,MD,NA,COUNTY GOVERNMENT,1325384,NA,NA
379,"COUNTY COMMISSIONERS OF QUEEN
ANNE'S COUNTY - 107 NORTH LIBERTY
STREET - CENTREVILLE, MD 21617",Queen Anne's,MD,NA,COUNTY GOVERNMENT,22317,NA,NA
380,"COUNTY COUNCIL OF TALBOT COUNTY
11 N. WASHINGTON STREET
EASTON, MD 21601",Talbot,MD,NA,COUNTY GOVERNMENT,20650,NA,24041 
381,"BOARD OF COUNTY COMMISSIONERS OF
WASHINGTON COUNTY - 35 W.
WASHINGTON STREET, ROOM 101 -
HAGERSTOWN, MD 21740",Washington,MD,NA,COUNTY GOVERNMENT,90512,NA,24043 
382,"WICOMICO COUNTY
P.O. BOX 4036
SALISBURY, MD 21803",Wicomico,MD,NA,COUNTY GOVERNMENT,67158,NA,24045 
383,"TOWN OF ABINGTON ELECTIONS
500 GLINIEWICZ WAY
ABINGTON, MA 02351",Abington,MA,NA,LOCAL GOVERNMENT,6338,NA,NA
384,"TOWN OF AMHERST							
PO BOX 40							
AURORA, ME 04408",Amherst,ME,NA,LOCAL GOVERNMENT,34052,NA,NA
385,"TOWN OF ANDOVER							
36 BARTLET ST.							
ANDOVER, MA 01810",Andover,MA,NA,LOCAL GOVERNMENT,14409,NA,NA
386,"ARLINGTON
730 MASS. AVE.
ARLINGTON, MA 02476",Arlington,MA,NA,LOCAL GOVERNMENT,16461,NA,NA
387,"TOWN OF ASHLAND
P.O. BOX 910
ASHLAND, ME 04732",Ashland,ME,NA,LOCAL GOVERNMENT,7425,NA,NA
388,"TOWN OF ATHOL
584 MAIN ST
ATHOL, MA 01331",Athol,MA,NA,LOCAL GOVERNMENT,5412,NA,NA
389,"CITY OF ATTLEBORO
77 PARK STREET ATTLEBORO
ATTLEBORO, MA 02703",Attleboro,MA,NA,LOCAL GOVERNMENT,19371,NA,NA
390,"TOWN OF AUBURN DEPARTMENT OF
ELECTIONS - 104 CENTRAL STREET -
AUBURN, MA 01501",Auburn,MA,NA,LOCAL GOVERNMENT,5230,NA,NA
391,"TOWN OF BARNSTABLE
367 MAIN ST
HYANNIS, MA 02601",Barnstable,MA,NA,LOCAL GOVERNMENT,20853,NA,25001 
392,"TOWN OF BEDFORD
10 MUDGE WAY
BEDFORD, MA 01730",Bedford,MA,NA,LOCAL GOVERNMENT,5811,NA,NA
393,"TOWN OF BELCHERTOWN							
P.O. BOX 629							
BELCHERTOWN, MA 01007",Belchertown,MA,NA,LOCAL GOVERNMENT,5475,NA,NA
394,"TOWN OF BELLINGHAM MASS							
10 MECHANIC STREET							
BELLINGHAM, MA 02019",Bellingham,MA,NA,LOCAL GOVERNMENT,5080,NA,NA
395,"TOWN OF BELMONT
455 CONCORD AVE
BELMONT, MA 02478",Belmont,MA,NA,LOCAL GOVERNMENT,11701,NA,NA
396,"CITY OF BEVERLY, MA - ELECTIONS
DEPT. - 191 CABOT STREET -
BEVERLY, MA 01915",Beverly,MA,NA,LOCAL GOVERNMENT,16213,NA,NA
397,"BILLERICA COUNTY
365 BOSTON ROAD
BILLERICA, MA 01821",Billerica,MA,NA,LOCAL GOVERNMENT,16035,NA,NA
398,"CITY OF BOSTON
1 CITY HALL SQUARE
BOSTON, MA 02201",Boston,MA,NA,LOCAL GOVERNMENT,691110,NA,NA
399,"TOWN OF BOURNE
24 PERRY AVENUE
BOURNE, MA 02532",Bourne,MA,NA,LOCAL GOVERNMENT,7960,NA,NA
400,"TOWN OF BRAINTREE
1 JOHN F. KENNEDY MEMORIAL DRIVE
BRAINTREE, MA 02184",Braintree,MA,NA,LOCAL GOVERNMENT,13465,NA,NA
401,"TOWN OF BRIDGEWATER
66 CENTRAL SQUARE
BRIDGEWATER, MA 02048",Bridgewater,MA,NA,LOCAL GOVERNMENT,12972,NA,NA
402,"TOWN OF BROOKLINE							
333 WASHINGTON STREET							
BROOKLINE, MA 20445",Brookline,MA,NA,LOCAL GOVERNMENT,37053,NA,NA
403,"TOWN OF BURLINGTON							
200 SPIELMAN HIGHWAY							
BURLINGTON, CT 06013",Burlington,CT,NA,LOCAL GOVERNMENT,10890,NA,NA
404,"CITY OF CAMBRIDGE
795 MASSACHUSETTS AVENUE
CAMBRIDGE, MA 02139",Cambridge,MA,NA,LOCAL GOVERNMENT,70511,NA,NA
405,"TOWN OF CANTON
PO BOX 168
COLLINSVILLE, CT 06022",Canton,CT,NA,LOCAL GOVERNMENT,11624,NA,NA
406,"TOWN OF CHELMSFORD
50 BILLERICA ROAD
CHELMSFORD, MA 01824",Chelmsford,MA,NA,LOCAL GOVERNMENT,13245,NA,NA
407,"CITY OF CHELSEA
500 BROADWAY
CHELSEA, MA 02150",Chelsea,MA,NA,LOCAL GOVERNMENT,27112,NA,NA
408,"CITY OF CHICOPEE
274 FRONT ST
CHICOPEE, MA 01013",Chicopee,MA,NA,LOCAL GOVERNMENT,25851,NA,NA
409,"CITY OF MARLBOROUGH
140 MAIN STREET
MARLBOROUGH, MA 01752",Marlborough,MA,NA,LOCAL GOVERNMENT,17329,NA,NA
410,"TOWN OF CONCORD
22 MONUMENT SQUARE
CONCORD, MA 01742",Concord,MA,NA,LOCAL GOVERNMENT,8559,NA,NA
411,"TOWN OF DANVERS- ELECTIONS							
1 SYLVAN STREET							
DANVERS, MA 01923",Danvers,MA,NA,LOCAL GOVERNMENT,10700,NA,NA
412,"TOWN OF DEDHAM							
2073 MAIN RD							
DEDHAM, ME 04429",Dedham,ME,NA,LOCAL GOVERNMENT,11376,NA,NA
413,"TOWN OF DRACUT -TOWN CLERKS OFFICE
62 ARLINGTON ST.
DRACUT, MA 01826",Dracut,MA,NA,LOCAL GOVERNMENT,13740,NA,NA
414,"TOWN OF EAST BRIDGEWATER
175 CENTRAL ST.
EAST BRIDGEWATER, MA 02333",East Bridgewater,MA,NA,LOCAL GOVERNMENT,6612,NA,NA
415,"EAST LONGMEADOW
60 CENTER SQUARE
EAST LONGMEADOW, MA 01028",East Longmeadow,MA,NA,LOCAL GOVERNMENT,6205,NA,NA
416,"CITY OF EASTHAMPTON
50 PAYSON AVENUE - SUITE 120
EASTHAMPTON, MA 01027",Easthampton,MA,NA,LOCAL GOVERNMENT,7959,NA,NA
417,"TOWN OF EASTON
225 CENTER ROAD
EASTON, CT 06612",Easton,CT,NA,LOCAL GOVERNMENT,9035,NA,NA
418,"CITY OF EVERETT
484 BROADWAY
EVERETT, MA 02149",Everett,MA,NA,LOCAL GOVERNMENT,29969,NA,NA
419,"FAIRHAVEN
40 CENTER STREET
FAIRHAVEN, MA 02719",Fairhaven,MA,NA,LOCAL GOVERNMENT,6380,NA,NA
420,"CITY OF FALL RIVER							
1 GOVERNMENT CENTER, ROOM 636							
FALL RIVER, MA 02722",Fall River,MA,NA,LOCAL GOVERNMENT,51812,NA,NA
421,"TOWN OF FOXBOROUGH							
40 SOUTH STREET							
FOXBOROUGH, MA 02035",Foxborough,MA,NA,LOCAL GOVERNMENT,7806,NA,NA
422,"CITY OF FRAMINGHAM CITY CLERK
150 CONCORD STREET
FRAMINGHAM, MA 01702",Framingham,MA,NA,LOCAL GOVERNMENT,36712,NA,NA
423,"TOWN OF FRANKLIN, MA DEPT. OF
ELECTIONS - 355 EAST CENTRAL ST -
FRANKLIN, MA 02038",Franklin,MA,NA,LOCAL GOVERNMENT,11630,NA,25011 
424,"CITY OF GLOUCESTER
9 DALE AVE.
GLOUCESTER, MA 01930",Gloucester,MA,NA,LOCAL GOVERNMENT,11768,NA,NA
425,"TOWN OF GRAFTON
30 PROVIDENCE RD
GRAFTON, MA 01519",Grafton,MA,NA,LOCAL GOVERNMENT,7914,NA,NA
426,"CITY OF GREENFIELD
14 COURT SQ
GREENFIELD, MA 01301",Greenfield,MA,NA,LOCAL GOVERNMENT,9538,NA,NA
427,"CITY OF HAVERHILL
4 SUMMER ST. ROOM 118
HAVERHILL, MA 01830",Haverhill,MA,NA,LOCAL GOVERNMENT,37460,NA,NA
428,"TOWN OF HOLLISTON
703 WASHINGTON STREET
HOLLISTON, MA 01746",Holliston,MA,NA,LOCAL GOVERNMENT,5023,NA,NA
429,"CITY CLERK'S OFFICE ELECTIONS							
536 DWIGHT ST							
HOLYOKE, MA 01040",Holyoke,MA,NA,LOCAL GOVERNMENT,43325,NA,NA
430,"TOWN OF HUDSON							
78 MAIN STREET							
HUDSON, MA 01749",Hudson,MA,NA,LOCAL GOVERNMENT,8403,NA,NA
431,"TOWN CLERKS OFFICE
25 GREEN ST
IPSWICH, MA 01938",Ipswich,MA,NA,LOCAL GOVERNMENT,5305,NA,NA
432,"LAWRENCE
200 COMMON STREET
LAWRENCE, MA 01840",Lawrence,MA,NA,LOCAL GOVERNMENT,76501,NA,NA
433,"CITY OF LEOMINSTER
25 WEST STREET
ASHBURNHAM, MA 01430",Leominster,MA,NA,LOCAL GOVERNMENT,27392,NA,NA
434,"TOWN OF LEXINGTON
1625 MASSACHUSETTS AVE
LEXINGTON, MA 02420",Lexington,MA,NA,LOCAL GOVERNMENT,15120,NA,NA
435,"TOWN OF LONGMEADOW
20 WILLIAMS STREET
LONGMEADOW, MA 01106",Longmeadow,MA,NA,LOCAL GOVERNMENT,5915,NA,NA
436,"CITY OF LOWELL
375 MERRIMACK STREET
LOWELL, MA 02155",Lowell,MA,NA,LOCAL GOVERNMENT,76022,NA,NA
437,"TOWN OF LUDLOW
488 CHAPIN STREET
LUDLOW, MA 01056",Ludlow,MA,NA,LOCAL GOVERNMENT,9912,NA,NA
438,"CITY OF LYNN							
3 CITY HALL SQUARE							
LYNN, MA 01901",Lynn,MA,NA,LOCAL GOVERNMENT,72043,NA,NA
439,"TOWN OF MARBLEHEAD ELECTIONS							
188 WASHINGTON ST							
MARBLEHEAD, MA 01945",Marblehead,MA,NA,LOCAL GOVERNMENT,5968,NA,NA
440,"CITY OF FITCHBURG
166 BOULDER DRIVE, SUITE 108
FITCHBURG, MA 01420",Fitchburg,MA,NA,LOCAL GOVERNMENT,26361,NA,NA
441,"CITY OF MEDFORD
85 GEORGE P HASSETT DRIVE
MEDFORD, MA 02155",Medford,MA,NA,LOCAL GOVERNMENT,29981,NA,NA
442,"CITY OF MELROSE
562 MAIN ST.
MELROSE, MA 02176",Melrose,MA,NA,LOCAL GOVERNMENT,10383,NA,NA
443,"CITY OF METHUEN
41 PLEASANT STREET
METHUEN, MA 01844",Methuen,MA,NA,LOCAL GOVERNMENT,28072,NA,NA
444,"TOWN OF MIDDLEBOROUGH
20 CENTRE STREET, 1ST FLOOR
MIDDLEBOROUGH, MA 02346",Middleborough,MA,NA,LOCAL GOVERNMENT,9503,NA,NA
445,"TOWN OF MILFORD TOWN CLERK'S
OFFICE/ELECTIONS - 52 MAIN STREET
- MILFORD, MA 01757",Milford,MA,NA,LOCAL GOVERNMENT,14000,NA,NA
446,"TOWN OF MILLBURY - ELECTIONS
DIVISION (TOWN CLERK) - 127 ELM
STREET - MILLBURY, MA 01527",Millbury,MA,NA,LOCAL GOVERNMENT,5098,NA,NA
447,"TOWN OF NATICK							
13 EAST CENTRAL ST.							
NATICK, MA 01760",Natick,MA,NA,LOCAL GOVERNMENT,14523,NA,NA
448,"TOWN OF NEEDHAM, TOWN CLERK'S							
DEPARTMENT - 1471 HIGHLAND AVE. -							
NEEDHAM, MA 02492",Needham,MA,NA,LOCAL GOVERNMENT,10573,NA,NA
449,"CITY OF NEW BEDFORD
133 WILLIAM STREET
NEW BEDFORD, MA 02740",New Bedford,MA,NA,LOCAL GOVERNMENT,62706,NA,NA
450,"CITY OF NEWBURYPORT
60 PLEASANT STREET
NEWBURYPORT, MA 01950",Newburyport,MA,NA,LOCAL GOVERNMENT,7003,NA,NA
451,"CITY OF NEWTON DEPARTMENT OF
ELECTIONS - 1000 COMMONWEALTH AVE
- NEWTON, MA 02459",Newton,MA,NA,LOCAL GOVERNMENT,37146,NA,NA
452,"CITY OF NORTH ADAMS
10 MAIN ST.
NORTH ADAMS, MA 01247",North Adams,MA,NA,LOCAL GOVERNMENT,7742,NA,NA
453,"TOWN OF NORTH ANDOVER DEPARTMENT
OF ELECTIONS - 120 MAIN STREET -
NORTH ANDOVER, MA 01845",North Andover,MA,NA,LOCAL GOVERNMENT,10840,NA,NA
454,"NORTH ATTLEBOROUGH TOWN
43 S. WASHINGTON ST
NORTH ATTLEBOROUGH, MA 02760",North Attleborough,MA,NA,LOCAL GOVERNMENT,12477,NA,NA
455,"TOWN OF NORTH READING, MA
235 NORTH STREET
NORTH READING, MA 01864",North Reading,MA,NA,LOCAL GOVERNMENT,5843,NA,NA
456,"CITY OF NORTHAMPTON							
210 MAIN STREET							
NORTHAMPTON, MA 01060",Northampton,MA,NA,LOCAL GOVERNMENT,15960,NA,NA
457,"TOWN OF NORTHBOROUGH							
63 MAIN ST							
NORTHBOROUGH, MA 01532",Northborough,MA,NA,LOCAL GOVERNMENT,5335,NA,NA
458,"TOWN OF NORTHBRIDGE
7 MAIN STREET
WHITINSVILLE, MA 01588",Northbridge,MA,NA,LOCAL GOVERNMENT,7293,NA,NA
459,"TOWN OF NORWOOD TREASURER
566 WASHINGTON ST
NORWOOD, MA 02062",Norwood,MA,NA,LOCAL GOVERNMENT,14753,NA,NA
460,"TOWN OF OXFORD
PO BOX 153
OXFORD, ME 04270",Oxford,ME,NA,LOCAL GOVERNMENT,6078,NA,23017 
461,"CITY OF PEABODY STATE DISBURSEMENT
ACCOUNT - 24 LOWELL STREET -
PEABODY, MA 01960",Peabody,MA,NA,LOCAL GOVERNMENT,23619,NA,NA
462,"CITY OF PITTSFIELD
70 ALLEN STREET
PITTSFIELD, MA 01201",Pittsfield,MA,NA,LOCAL GOVERNMENT,23755,NA,NA
463,"TOWN OF PLYMOUTH
26 COURT ST.
PLYMOUTH, MA 02360",Plymouth,MA,NA,LOCAL GOVERNMENT,22593,NA,25023 
464,"TOWN OF RANDOLPH
121 KINDERHOOK STREET
RANDOLPH, ME 04346",Randolph,ME,NA,LOCAL GOVERNMENT,29913,NA,NA
465,"TOWN OF READING							
16 LOWELL ST							
READING, MA 01867",Reading,MA,NA,LOCAL GOVERNMENT,7402,NA,NA
466,"CITY OF REVERE							
281 BROADWAY							
REVERE, MA 02151",Revere,MA,NA,LOCAL GOVERNMENT,36883,NA,NA
467,"TOWN OF ROCKLAND
242 UNION ST
ROCKLAND, MA 02370",Rockland,MA,NA,LOCAL GOVERNMENT,6873,NA,NA
468,"CITY OF SALEM
93 WASHINGTON STREET
SALEM, MA 01970",Salem,MA,NA,LOCAL GOVERNMENT,26240,NA,NA
469,"TOWN OF SAUGUS
298 CENTRAL STREET
SAUGUS, MA 01906",Saugus,MA,NA,LOCAL GOVERNMENT,12852,NA,NA
470,"TOWN OF SCITUATE
600 CHIEF JUSTICE CUSHING WAY
SCITUATE, MA 02066",Scituate,MA,NA,LOCAL GOVERNMENT,5452,NA,NA
471,"TOWN OF SHARON
90 SOUTH MAIN STREET
SHARON, MA 02067",Sharon,MA,NA,LOCAL GOVERNMENT,7206,NA,NA
472,"TOWN OF SHREWSBURY
100 MAPLE AVE
SHREWSBURY, MA 01545",Shrewsbury,MA,NA,LOCAL GOVERNMENT,16898,NA,NA
473,"CITY OF SOMERVILLE
93 HIGHLAND AVENUE
SOMERVILLE, MA 02143",Somerville,MA,NA,LOCAL GOVERNMENT,53438,NA,NA
474,"TOWN OF SOUTH HADLEY							
116 MAIN STREET							
SOUTH HADLEY, MA 01075",South Hadley,MA,NA,LOCAL GOVERNMENT,8739,NA,NA
475,"TOWN OF SOUTHBRIDGE							
41 ELM STREET							
SOUTHBRIDGE, MA 01550",Southbridge,MA,NA,LOCAL GOVERNMENT,12620,NA,NA
476,"CITY OF SPRINGFIELD
36 COURT STREET
SPRINGFIELD, MA 01103",Springfield,MA,NA,LOCAL GOVERNMENT,160673,NA,NA
477,"TOWN OF SUDBURY
278 OLD SUDBURY RD
SUDBURY, MA 01776",Sudbury,MA,NA,LOCAL GOVERNMENT,6195,NA,NA
478,"CITY OF TAUNTON
15 SUMMER STREET
TAUNTON, MA 02780",Taunton,MA,NA,LOCAL GOVERNMENT,25812,NA,NA
479,"TOWN OF TEWKSBURY
1009 MAIN STREET
TEWKSBURY, MA 01876",Tewksbury,MA,NA,LOCAL GOVERNMENT,11898,NA,NA
480,"TOWN OF DENNIS
685 ROUTE 134
SOUTH DENNIS, MA 02660",Dennis,MA,NA,LOCAL GOVERNMENT,7356,NA,NA
481,"HOPKINTON
18 MAIN ST.
HOPKINTON, MA 01748",Hopkinton,MA,NA,LOCAL GOVERNMENT,5463,NA,NA
482,"TOWN OF MILTON
525 CANTON AVENUE
MILTON, MA 02186",Milton,MA,NA,LOCAL GOVERNMENT,11757,NA,NA
483,"TOWN OF NORTON							
70 EAST MAIN STREET							
NORTON, MA 02766",Norton,MA,NA,LOCAL GOVERNMENT,7573,NA,NA
484,"TOWN OF SANDWICH							
130 MAIN STREET							
SANDWICH, MA 02563",Sandwich,MA,NA,LOCAL GOVERNMENT,6376,NA,NA
485,"TOWN OF SPENCER
157 MAIN STREET
SPENCER, MA 01562",Spencer,MA,NA,LOCAL GOVERNMENT,5628,NA,NA
486,"TOWN OF WALPOLE
135 SCHOOL STREET
WALPOLE, MA 02081",Walpole,MA,NA,LOCAL GOVERNMENT,8955,NA,NA
487,"TOWN OF WILBRAHAM
240 SPRINGFIELD ST.
WILBRAHAM, MA 01095",Wilbraham,MA,NA,LOCAL GOVERNMENT,5538,NA,NA
488,"TYNGSBOROUGH, MA ELECTIONS
25 BRYANTS LANE
TYNGSBOROUGH, MA 01879",Tyngsborough,MA,NA,LOCAL GOVERNMENT,5403,NA,NA
489,"TOWN OF UXBRIDGE
21 S. MAIN ST
UXBRIDGE, MA 01569",Uxbridge,MA,NA,LOCAL GOVERNMENT,5223,NA,NA
490,"WALTHAM
610 MAIN STREET
WALTHAM, MA 02452",Waltham,MA,NA,LOCAL GOVERNMENT,40239,NA,NA
491,"TOWN OF  WARE
126 MAIN ST SUITE F
WARE, MA 01082",Ware,MA,NA,LOCAL GOVERNMENT,5474,NA,NA
492,"TOWN OF WAREHAM							
54 MARION ROAD							
WAREHAM, MA 02571",Wareham,MA,NA,LOCAL GOVERNMENT,12481,NA,NA
493,"TOWN OF WELLESLEY - ELECTIONS							
525 WASHINGTON STREET							
WELLESLEY, MA 02482",Wellesley,MA,NA,LOCAL GOVERNMENT,11700,NA,NA
